time,tps,cpuusage,memoryused,memorytotal,memoryfree,pingaverage,pingmedian,pingmin,pingmax,playeronline,playermax
1677122528701,20,0.04,968,2468,1499,0,0,0,0,0,32
1677122588708,20,0.05,1032,2468,1435,0,0,0,0,0,32
1677122648703,20,0.05,1091,2468,1376,0,0,0,0,0,32
1677122708702,20,0.04,1152,2468,1315,0,0,0,0,0,32
1677122768700,20,0.04,1211,2468,1256,0,0,0,0,0,32
1677122828701,20,0.04,1271,2468,1196,0,0,0,0,0,32
1677122888701,20,0.05,1338,2468,1129,0,0,0,0,0,32
1677122948701,20,0.04,1404,2468,1063,0,0,0,0,0,32
1677123008702,20,0.04,1466,2468,1001,0,0,0,0,0,32
1677123068704,20,0.04,1527,2468,940,0,0,0,0,0,32
1677123128702,20,0.04,1588,2468,879,0,0,0,0,0,32
1677123188700,20,0.06,955,2468,1512,4,4,4,4,1,32
1677123248701,20,0.05,888,2468,1579,12,12,12,12,1,32
1677123308701,20,0.07,997,2468,1470,15,15,15,15,1,32
1677123368702,20,0.08,1010,2468,1457,16,16,16,16,1,32
1677123428702,20,0.06,1263,2468,1204,17,17,17,17,1,32
1677123488713,20,0.05,1176,2468,1291,17,17,17,17,1,32
1677123548700,20,0.05,965,2468,1502,17,17,17,17,1,32
1677123608704,20,0.06,1339,2468,1128,16,16,16,16,1,32
1677123668700,20,0.08,1255,2468,1212,15,15,15,15,1,32
1677123728702,20,0.07,1161,2468,1306,17,17,17,17,1,32
1677123788702,20,0.06,939,2468,1528,0,0,0,0,0,32
1677123848701,20,0.04,1001,2468,1466,0,0,0,0,0,32
1677123908703,20,0.07,1414,2468,1053,0,0,0,0,1,32
1677123968704,20,0.06,1123,2468,1344,10,10,10,10,1,32
1677124028701,20,0.05,1375,2468,1092,12,12,12,12,1,32
1677124088702,20,0.05,1104,2468,1363,13,13,13,13,1,32
1677124148701,20,0.07,1325,2468,1142,15,15,15,15,1,32
1677124208702,20,0.07,1104,2468,1363,15,15,15,15,1,32
1677124268702,20,0.05,1382,2468,1085,15,15,15,15,1,32
1677124328703,20,0.05,1020,2468,1447,15,15,15,15,1,32
1677124388702,20,0.05,1245,2468,1222,16,16,16,16,1,32
1677124448701,20,0.05,1469,2468,998,15,15,15,15,1,32
1677124508701,20,0.05,1701,2468,766,16,16,16,16,1,32
1677124568701,20,0.05,1013,2468,1454,16,16,16,16,1,32
1677124628701,20,0.05,1246,2468,1221,16,16,16,16,1,32
1677124688702,20,0.05,987,2468,1480,16,16,16,16,1,32
1677124748703,20,0.06,1438,2468,1029,15,15,15,15,1,32
1677124808705,20,0.05,1099,2468,1368,19,19,19,19,1,32
1677124868703,20,0.05,1353,2468,1114,16,16,16,16,1,32
1677124928701,20,0.05,1559,2468,908,0,0,0,0,0,32
1677124988704,20,0.04,1619,2468,848,0,0,0,0,0,32
1677125048704,20,0.05,1061,2468,1406,6,6,6,6,1,32
1677125108706,20,0.05,1121,2468,1346,11,11,11,11,1,32
1677125168703,20,0.05,1099,2468,1368,0,0,0,0,0,32
1677125228701,20,0.05,1254,2468,1213,0,0,0,0,0,32
1677125288701,20,0.04,1312,2468,1155,0,0,0,0,0,32
1677125348701,20,0.05,1369,2468,1098,0,0,0,0,0,32
1677125408702,20,0.05,1152,2468,1315,0,0,0,0,1,32
1677125468701,20,0.06,1190,2468,1277,11,11,11,11,1,32
1677125528701,20,0.06,1246,2468,1221,14,14,14,14,1,32
1677125588701,20,0.06,1233,2468,1234,15,15,15,15,1,32
1677125648704,20,0.05,1487,2468,980,15,15,15,15,1,32
1677125708704,20,0.07,1574,2468,893,17,17,17,17,1,32
1677125768701,20,0.08,1217,2468,1250,16,16,16,16,1,32
